catalogStatus,problem,missingData,domain,systemId,name,category,brandHint,assignedFamily,candidateFamilies,reason
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_bcur20,Чёрная смородина 20,sinking_boilies,van_zandt,,Helen Van Zandt / Чёрная смородина [hvz_boils_bcur] | Helen Van Zandt / Черная смородина [hvz_fpel_bcurrant],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_hs12,Клубника 12,sinking_boilies,van_zandt,,Helen Van Zandt / Клубника [hvz_boils_hs] | Helen Van Zandt / Клубника [hvz_fpel_strawb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_hs15,Клубника 15,sinking_boilies,van_zandt,,Helen Van Zandt / Клубника [hvz_boils_hs] | Helen Van Zandt / Клубника [hvz_fpel_strawb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_hs20,Клубника 20,sinking_boilies,van_zandt,,Helen Van Zandt / Клубника [hvz_boils_hs] | Helen Van Zandt / Клубника [hvz_fpel_strawb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_kc15,Королевский краб 15,sinking_boilies,van_zandt,,Helen Van Zandt / Королевский краб [hvz_boils_kc] | Helen Van Zandt / Королевский краб [hvz_pel_crab] | Helen Van Zandt / Королевский краб [hvz_fpel_crab],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_kc18,Королевский краб 18,sinking_boilies,van_zandt,,Helen Van Zandt / Королевский краб [hvz_boils_kc] | Helen Van Zandt / Королевский краб [hvz_pel_crab] | Helen Van Zandt / Королевский краб [hvz_fpel_crab],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_kc24,Королевский краб 24,sinking_boilies,van_zandt,,Helen Van Zandt / Королевский краб [hvz_boils_kc] | Helen Van Zandt / Королевский краб [hvz_pel_crab] | Helen Van Zandt / Королевский краб [hvz_fpel_crab],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ma15,Нежный анис 15,sinking_boilies,van_zandt,,Helen Van Zandt / Нежный анис [hvz_boils_ma] | Helen Van Zandt / Нежный анис [hvz_fpel_anis],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_ma20,Нежный анис 20,sinking_boilies,van_zandt,,Helen Van Zandt / Нежный анис [hvz_boils_ma] | Helen Van Zandt / Нежный анис [hvz_fpel_anis],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_mh15,Горный мёд 15,sinking_boilies,van_zandt,,Helen Van Zandt / Горный мёд [hvz_boils_mh] | Helen Van Zandt / Горный мед [hvz_fpel_honey],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_tf15,Тутти-Фрутти 15,sinking_boilies,van_zandt,,Helen Van Zandt / Тутти-Фрутти [hvz_boils_tf] | Helen Van Zandt / Тутти Фрутти [hvz_fpel_tutti],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_tf18,Тутти-Фрутти 18,sinking_boilies,van_zandt,,Helen Van Zandt / Тутти-Фрутти [hvz_boils_tf] | Helen Van Zandt / Тутти Фрутти [hvz_fpel_tutti],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_tf24,Тутти-Фрутти 24,sinking_boilies,van_zandt,,Helen Van Zandt / Тутти-Фрутти [hvz_boils_tf] | Helen Van Zandt / Тутти Фрутти [hvz_fpel_tutti],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_hvz_tp_pu12,Тропическй ананас Pop-Ups 12,pop_up_boilies,van_zandt,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_hvz_tp_pu15,Тропическй ананас Pop-Ups 15,pop_up_boilies,van_zandt,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,boils_hvz_tp_pu20,Тропическй ананас Pop-Ups 20,pop_up_boilies,van_zandt,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_van12,Ваниль 12,sinking_boilies,van_zandt,,Helen Van Zandt / Ваниль [hvz_boils_van] | Helen Van Zandt / Ваниль [hvz_pel_vanila],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_van16,Ваниль 16,sinking_boilies,van_zandt,,Helen Van Zandt / Ваниль [hvz_boils_van] | Helen Van Zandt / Ваниль [hvz_pel_vanila],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_hvz_van22,Ваниль 22,sinking_boilies,van_zandt,,Helen Van Zandt / Ваниль [hvz_boils_van] | Helen Van Zandt / Ваниль [hvz_pel_vanila],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_ban14,Банан 14,sinking_boilies,old_pal,,Old Pal / Банан [op_boils_ban] | Old Pal / Банан [op_fpel_banana],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_ban20,Банан 20,sinking_boilies,old_pal,,Old Pal / Банан [op_boils_ban] | Old Pal / Банан [op_fpel_banana],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_ban26,Банан 26,sinking_boilies,old_pal,,Old Pal / Банан [op_boils_ban] | Old Pal / Банан [op_fpel_banana],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_blw10,Мотыль 10,sinking_boilies,old_pal,,Old Pal / Мотыль [op_boils_blw] | Old Pal / Мотыль [op_fpel_bloodworm],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_blw14,Мотыль 14,sinking_boilies,old_pal,,Old Pal / Мотыль [op_boils_blw] | Old Pal / Мотыль [op_fpel_bloodworm],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_cc12,Кокос и сливки 12,sinking_boilies,old_pal,,Old Pal / Кокос и сливки [op_boils_cc] | Old Pal / Кокос и сливки [op_pellets_cocos] | Old Pal / Кокос и сливки [op_fpel_cococream],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_cc16,Кокос и сливки 16,sinking_boilies,old_pal,,Old Pal / Кокос и сливки [op_boils_cc] | Old Pal / Кокос и сливки [op_pellets_cocos] | Old Pal / Кокос и сливки [op_fpel_cococream],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_cc22,Кокос и сливки 22,sinking_boilies,old_pal,,Old Pal / Кокос и сливки [op_boils_cc] | Old Pal / Кокос и сливки [op_pellets_cocos] | Old Pal / Кокос и сливки [op_fpel_cococream],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_fwk14,Пресноводный криль 14,sinking_boilies,old_pal,,Old Pal / Пресноводный криль [op_boils_fwk] | Old Pal / Пресноводный криль [op_pellets_fwkrill],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_fwk18,Пресноводный криль 18,sinking_boilies,old_pal,,Old Pal / Пресноводный криль [op_boils_fwk] | Old Pal / Пресноводный криль [op_pellets_fwkrill],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_hal14,Палтус 14,sinking_boilies,old_pal,,Old Pal / Палтус [op_boils_hal] | Old Pal / Палтус [op_pellets_halib] | Old Pal / Палтус [op_fpel_halib],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_hal20,Палтус 20,sinking_boilies,old_pal,,Old Pal / Палтус [op_boils_hal] | Old Pal / Палтус [op_pellets_halib] | Old Pal / Палтус [op_fpel_halib],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_mc15,Мятный торт 15,sinking_boilies,old_pal,,Old Pal / Мятный торт [op_boils_mc] | Old Pal / Мятный торт [op_pellets_mint],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_mc20,Мятный торт 20,sinking_boilies,old_pal,,Old Pal / Мятный торт [op_boils_mc] | Old Pal / Мятный торт [op_pellets_mint],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_mc25,Мятный торт 25,sinking_boilies,old_pal,,Old Pal / Мятный торт [op_boils_mc] | Old Pal / Мятный торт [op_pellets_mint],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_rj15,Малиновый джем 15,sinking_boilies,old_pal,,Old Pal / Малиновый джем [op_boils_raspberryjam] | Old Pal / Малиновый джем [op_fpel_raspb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_rj20,Малиновый джем 20,sinking_boilies,old_pal,,Old Pal / Малиновый джем [op_boils_raspberryjam] | Old Pal / Малиновый джем [op_fpel_raspb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_rj25,Малиновый джем 25,sinking_boilies,old_pal,,Old Pal / Малиновый джем [op_boils_raspberryjam] | Old Pal / Малиновый джем [op_fpel_raspb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sc14,Сахарная кукуруза 14,sinking_boilies,old_pal,,Old Pal / Сахарная кукуруза [op_boils_sc] | Old Pal / Сахарная кукуруза [op_pellets_sweetcorn],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sc20,Сахарная кукуруза 20,sinking_boilies,old_pal,,Old Pal / Сахарная кукуруза [op_boils_sc] | Old Pal / Сахарная кукуруза [op_pellets_sweetcorn],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sc26,Сахарная кукуруза 26,sinking_boilies,old_pal,,Old Pal / Сахарная кукуруза [op_boils_sc] | Old Pal / Сахарная кукуруза [op_pellets_sweetcorn],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sf14,Семена подсолнуха 14,sinking_boilies,old_pal,,Old Pal / Семена подсолнуха [op_boils_sf] | Old Pal / Семена подсолнуха [op_fpel_sunflow],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sf20,Семена подсолнуха 20,sinking_boilies,old_pal,,Old Pal / Семена подсолнуха [op_boils_sf] | Old Pal / Семена подсолнуха [op_fpel_sunflow],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_sf26,Семена подсолнуха 26,sinking_boilies,old_pal,,Old Pal / Семена подсолнуха [op_boils_sf] | Old Pal / Семена подсолнуха [op_fpel_sunflow],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_smk14,Копчёности 14,sinking_boilies,old_pal,,Old Pal / Копчёности [op_boils_smk] | Old Pal / Копчёности [op_pellets_smoked] | Old Pal / Копчёности [op_fpel_smoked],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_smk20,Копчёности 20,sinking_boilies,old_pal,,Old Pal / Копчёности [op_boils_smk] | Old Pal / Копчёности [op_pellets_smoked] | Old Pal / Копчёности [op_fpel_smoked],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,boils_op_smk30,Копчёности 30,sinking_boilies,old_pal,,Old Pal / Копчёности [op_boils_smk] | Old Pal / Копчёности [op_pellets_smoked] | Old Pal / Копчёности [op_fpel_smoked],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_cb_bfc,Банан,artificial_corn,craft_baits,,Old Pal / Банан [op_boils_ban] | Old Pal / Банан [op_fpel_banana],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_cfc,Цитрусы,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_ffc,Фрукты,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_flr,Натуральный вкус FLR,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_neo,Натуральный вкус NEO,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_org,Натуральный вкус ORG,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_red,Натуральный вкус RED,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_ylw,Натуральный вкус YLW,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_nfc_ylw2,Натуральный вкус YLW2,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_rbfc,Малина,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_cb_sbfc,Клубника,artificial_corn,craft_baits,,Helen Van Zandt / Клубника [hvz_boils_hs] | Helen Van Zandt / Клубника [hvz_fpel_strawb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_sfc,Специи,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_cb_sqfc,Кальмар,artificial_corn,craft_baits,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_bccp,Черная смородина Фиолетовый,artificial_corn,old_pal,,Helen Van Zandt / Чёрная смородина [hvz_boils_bcur] | Helen Van Zandt / Черная смородина [hvz_fpel_bcurrant] | Mad Mayers / Черная смородина [mad_boilies_bcurrant],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_bccy,Черная смородина Жёлтый,artificial_corn,old_pal,,Helen Van Zandt / Чёрная смородина [hvz_boils_bcur] | Helen Van Zandt / Черная смородина [hvz_fpel_bcurrant] | Mad Mayers / Черная смородина [mad_boilies_bcurrant],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_bcy,Банан,artificial_corn,old_pal,,Old Pal / Банан [op_boils_ban] | Old Pal / Банан [op_fpel_banana],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_cbcr,Клюква,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_cccw,Кокосовый крем,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_ccr,Икра Красный,artificial_corn,old_pal,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_ccy,Икра Жёлтый,artificial_corn,old_pal,,Craft Baits / Икра [cb_boilies_caviar] | Craft Baits / Икра [cb_pellets_caviar],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_ebcr,Ягодный микс,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_mbcp,Шелковица Фиолетовый,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_mbcy,Шелковица Жёлтый,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_rbcp,Малина,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,несколько подходящих семейств,не выбрано точное семейство,bait,crn_op_sbcr,Клубника,artificial_corn,old_pal,,Helen Van Zandt / Клубника [hvz_boils_hs] | Helen Van Zandt / Клубника [hvz_fpel_strawb],Несколько семейств совпали с одинаковым приоритетом; автоматический выбор небезопасен
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_scn_f,Натуральный Флуоресцентный,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_scn_g,Натуральный Зеленый,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_scn_o,Натуральный Оранжевый,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_scn_p,Натуральный Розовый,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
добавлено в каталог,семейство не найдено,не назначено семейство,bait,crn_op_scn_r,Натуральный Красный,artificial_corn,old_pal,,,Название и подсказка бренда не совпали ни с одним семейством каталога
