name,category,brend,type,power,test_down,test_up,length,sensi,rig,stroy,bonus_opit,bonus_snast,bonus_nav,bonus_zabros,stren,lvl,price_ser,price_gold,system_id,photo,source_url
Barracuda SPM78M,Спиннинговые,Barracuda,Спиннинг,M,4,18,"2,4",1,3,Средний,,,,,79,26,6299,,spin_10065_SPM78ML,/uploads/rods/spin_10065_SPM78ML.png,https://potryasovgame.ru/page110667676.html
Barracuda SPM68M,Спиннинговые,Barracuda,Спиннинг,M,5,25,"2,1",1,3,Средний,,,,,"78,8",26,5998,,spin_10065_SPM68M,/uploads/rods/spin_10065_SPM68M.png,https://potryasovgame.ru/page110667676.html
Armada SPF78MH,Спиннинговые,Armada,Спиннинг,MH,7,21,"2,4",7,8,Быстрый,,Джиговые +2,,,"22,8",28,5846,,spin_10067_SPF78MH,/uploads/rods/spin_10067_SPF78MH.png,https://potryasovgame.ru/page110667676.html
Armada SPEF68H,Спиннинговые,Armada,Спиннинг,H,12,28,"2,1",7,9,Сверх,,Джиговые +3,,,"21,9",28,5770,,spin_10067_SPEF68H,/uploads/rods/spin_10067_SPEF68H.png,https://potryasovgame.ru/page110667676.html
Armada SPF68XH,Спиннинговые,Armada,Спиннинг,XH,14,48,"2,1",7,10,Быстрый,,Джиговые +2,,,"25,7",28,5770,,spin_10067_SPF68XH,/uploads/rods/spin_10067_SPF68XH.png,https://potryasovgame.ru/page110667676.html
Armada SPEF68M,Спиннинговые,Armada,Спиннинг,M,4,10,"2,1",8,7,Сверх,,Джиговые +3,,,"13,8",28,5700,,spin_10067_SPEF68M,/uploads/rods/spin_10067_SPEF68M.png,https://potryasovgame.ru/page110667676.html
Armada SPF60M,Спиннинговые,Armada,Спиннинг,M,5,14,"1,8",8,8,Быстрый,,Джиговые +2,,,"16,8",28,5542,,spin_10067_SPF60M,/uploads/rods/spin_10067_SPF60M.png,https://potryasovgame.ru/page110667676.html
Armada SPF60MH,Спиннинговые,Armada,Спиннинг,MH,7,21,"1,8",7,8,Быстрый,,Джиговые +2,,,"22,8",28,5536,,spin_10067_SPF60MH,/uploads/rods/spin_10067_SPF60MH.png,https://potryasovgame.ru/page110667676.html
Legend SPF77ML,Спиннинговые,Legend,Спиннинг,ML,"3,5",12,"2,4",5,6,Быстрый,25%,Воблер +1,5%,,29,28,5441,,spin_10146_SPF77ML,/uploads/rods/spin_10146_SPF77ML.png,https://potryasovgame.ru/page110667676.html
Legend SPF77XH,Спиннинговые,Legend,Спиннинг,XH,12,45,"2,4",5,9,Быстрый,,Воблер +1,5%,,"42,5",28,5441,,spin_10146_SPF77XH,/uploads/rods/spin_10146_SPF77XH.png,https://potryasovgame.ru/page110667676.html
Legend SPF70M,Спиннинговые,Legend,Спиннинг,M,5,"17,5","2,1",5,6,Быстрый,,Воблер +1,5%,,"39,5",28,5383,,spin_10146_SPF70M,/uploads/rods/spin_10146_SPF70M.png,https://potryasovgame.ru/page110667676.html
Legend SPF70MH,Спиннинговые,Legend,Спиннинг,MH,7,21,"2,1",5,7,Быстрый,,Воблер +1,5%,,"42,1",28,5383,,spin_10146_SPF70MH,/uploads/rods/spin_10146_SPF70MH.png,https://potryasovgame.ru/page110667676.html
Legend SPF77H,Спиннинговые,Legend,Спиннинг,H,"10,5",28,"2,4",5,8,Быстрый,,Воблер +1,5%,,"41,5",28,5383,,spin_10146_SPF77H,/uploads/rods/spin_10146_SPF77H.png,https://potryasovgame.ru/page110667676.html
Legend SPF66M,Спиннинговые,Legend,Спиннинг,M,5,"17,5","1,8",5,6,Быстрый,,Воблер +1,5%,,"39,5",28,5313,,spin_10146_SPF66M,/uploads/rods/spin_10146_SPF66M.png,https://potryasovgame.ru/page110667676.html
Legend SPF68ML,Спиннинговые,Legend,Спиннинг,ML,"3,5",12,2,5,6,Быстрый,25%,Воблер +1,5%,,29,28,5313,,spin_10146_SPF68ML,/uploads/rods/spin_10146_SPF68ML.png,https://potryasovgame.ru/page110667676.html
Legend SPF66UL,Спиннинговые,Legend,Спиннинг,UL,1,5,"1,8",6,5,Быстрый,100%,Воблер +1,5%,,"10,1",28,5313,,spin_10146_SPF66UL,/uploads/rods/spin_10146_SPF66UL.png,https://potryasovgame.ru/page110667676.html
Legend SPF66L,Спиннинговые,Legend,Спиннинг,L,2,8,"1,8",6,6,Быстрый,50%,Воблер +1,5%,,16,28,5081,,spin_10146_SPF66L,/uploads/rods/spin_10146_SPF66L.png,https://potryasovgame.ru/page110667676.html
Advent S-F100HHH,Спиннинговые,Advent,Спиннинг,XH,21,70,3,6,10,Быстрый,,,,,57,26,4995,,spin_10154_F100HHH,/uploads/rods/spin_10154_F100HHH.png,https://potryasovgame.ru/page110667676.html
Advent S-F96H,Спиннинговые,Advent,Спиннинг,H,8,42,"2,9",7,8,Быстрый,,,,,45,26,4929,,spin_10154_F96H,/uploads/rods/spin_10154_F96H.png,https://potryasovgame.ru/page110667676.html
Palmera UL SPM78L,Спиннинговые,Palmera,Спиннинг,L,2,9,"2,4",3,3,Средний,50%,,,,"31,7",26,4920,,spin_10066_SPM78UL,/uploads/rods/spin_10066_SPM78UL.png,https://potryasovgame.ru/page110667676.html
Advent S-F93MH,Спиннинговые,Advent,Спиннинг,MH,5,28,"2,8",7,7,Быстрый,,,,,50,26,4859,,spin_10154_F93MH,/uploads/rods/spin_10154_F93MH.png,https://potryasovgame.ru/page110667676.html
Advent S-F86HH,Спиннинговые,Advent,Спиннинг,XH,10,56,"2,6",7,9,Быстрый,,,,,50,26,4813,,spin_10154_F86HH,/uploads/rods/spin_10154_F86HH.png,https://potryasovgame.ru/page110667676.html
Advent S-F70HHH,Спиннинговые,Advent,Спиннинг,XH,21,70,"2,1",6,10,Быстрый,,,,,53,26,4709,,spin_10154_F70HHH,/uploads/rods/spin_10154_F70HHH.png,https://potryasovgame.ru/page110667676.html
Advent S-F70HH,Спиннинговые,Advent,Спиннинг,XH,10,56,"2,1",7,9,Быстрый,,,,,50,26,4605,,spin_10154_F70HH,/uploads/rods/spin_10154_F70HH.png,https://potryasovgame.ru/page110667676.html
Advent S-F66L,Спиннинговые,Advent,Спиннинг,L,3,9,2,7,7,Быстрый,50%,,,,"23,1",26,4383,,spin_10154_F66L,/uploads/rods/spin_10154_F66L.png,https://potryasovgame.ru/page110667676.html
Advent S-F70H,Спиннинговые,Advent,Спиннинг,H,8,42,"2,1",7,8,Быстрый,,,,,45,26,4298,,spin_10154_F70H,/uploads/rods/spin_10154_F70H.png,https://potryasovgame.ru/page110667676.html
Palmera UL SPM68UL,Спиннинговые,Palmera,Спиннинг,UL,1,4,"2,1",3,3,Средний,100%,,,,"10,8",26,4113,,spin_10066_SPM68UL,/uploads/rods/spin_10066_SPM68UL.png,https://potryasovgame.ru/page110667676.html
Pulse SPF77MH,Спиннинговые,Pulse,Спиннинг,MH,7,21,"2,4",7,8,Быстрый,,Джиговые +1,,,"26,2",24,3986,,spin_10145_SPF77MH,/uploads/rods/spin_10145_SPF77MH.png,https://potryasovgame.ru/page110667676.html
Pulse SPF77H,Спиннинговые,Pulse,Спиннинг,H,7,28,"2,4",7,8,Быстрый,,Джиговые +1,,,28,24,3986,,spin_10145_SPF77H,/uploads/rods/spin_10145_SPF77H.png,https://potryasovgame.ru/page110667676.html
Pulse SPXF70M,Спиннинговые,Pulse,Спиннинг,M,7,"17,5","2,1",7,8,Сверх,,Джиговые +3,,,"26,1",24,3929,,spin_10145_SPXF70M,/uploads/rods/spin_10145_SPXF70M.png,https://potryasovgame.ru/page110667676.html
Pulse SPF66L,Спиннинговые,Pulse,Спиннинг,L,"2,5",9,2,8,7,Быстрый,50%,Джиговые +1,,,15,24,3815,,spin_10145_SPF66L,/uploads/rods/spin_10145_SPF66L.png,https://potryasovgame.ru/page110667676.html
Pulse SPF66ML,Спиннинговые,Pulse,Спиннинг,ML,4,14,2,7,7,Быстрый,25%,Джиговые +1,,,"25,4",24,3815,,spin_10145_SPF66ML,/uploads/rods/spin_10145_SPF66ML.png,https://potryasovgame.ru/page110667676.html
Pulse SPF60UL,Спиннинговые,Pulse,Спиннинг,UL,"1,5",5,"1,8",6,6,Быстрый,100%,Джиговые +1,,,9,24,3815,,spin_10145_SPF60UL,/uploads/rods/spin_10145_SPF60UL.png,https://potryasovgame.ru/page110667676.html
Evora SPM98H,Спиннинговые,Evora,Спиннинг,H,10,42,3,5,7,Средний,,,,10%,"39,4",24,3669,,spin_10064_SPM98H,/uploads/rods/spin_10064_SPM98H.png,https://potryasovgame.ru/page110667676.html
Advent S-F66ML,Спиннинговые,Advent,Спиннинг,ML,4,12,2,7,7,Быстрый,25%,,,,"31,3",26,3550,,spin_10154_F66ML,/uploads/rods/spin_10154_F66ML.png,https://potryasovgame.ru/page110667676.html
Evora SPSL88MH,Спиннинговые,Evora,Спиннинг,MH,8,40,"2,7",5,6,Медленный,,,,,"38,7",24,3464,,spin_10064_SPSL88MH,/uploads/rods/spin_10064_SPSL88MH.png,https://potryasovgame.ru/page110667676.html
Evora SPM78ML,Спиннинговые,Evora,Спиннинг,ML,5,20,"2,4",5,6,Средний,25%,,,10%,"32,9",24,3238,,spin_10064_SPM78ML,/uploads/rods/spin_10064_SPM78ML.png,https://potryasovgame.ru/page110667676.html
Versa SPF70UL,Спиннинговые,Versa,Спиннинг,UL,1,5,"2,1",5,5,Быстрый,100%,,,,"8,5",22,3135,,spin_10144_SPF70UL,/uploads/rods/spin_10144_SPF70UL.png,https://potryasovgame.ru/page110667676.html
Versa SPM70L,Спиннинговые,Versa,Спиннинг,L,"2,5",12,"2,1",5,5,Средний,50%,,,,21,22,3135,,spin_10144_SPM70L,/uploads/rods/spin_10144_SPM70L.png,https://potryasovgame.ru/page110667676.html
Versa SPF66ML,Спиннинговые,Versa,Спиннинг,ML,4,14,2,6,6,Быстрый,25%,,,,"28,1",22,3022,,spin_10144_SPF66ML,/uploads/rods/spin_10144_SPF66ML.png,https://potryasovgame.ru/page110667676.html
Versa SPF88H,Спиннинговые,Versa,Спиннинг,H,7,28,"2,7",6,7,Быстрый,,,,,"35,5",22,2799,,spin_10144_SPF88H,/uploads/rods/spin_10144_SPF88H.png,https://potryasovgame.ru/page110667676.html
Cardena SPM78ML,Спиннинговые,Cardena,Спиннинг,ML,3,14,"2,4",3,4,Средний,25%,,,,"26,1",20,2715,,spin_10063_SPM78ML,/uploads/rods/spin_10063_SPM78ML.png,https://potryasovgame.ru/page110667676.html
Ethnic SPXF98H,Спиннинговые,Ethnic,Спиннинг,H,12,36,3,4,7,Сверх,,,,,"36,1",16,2699,,spin_10105_SPXF98H,/uploads/rods/spin_10105_SPXF98H.png,https://potryasovgame.ru/page110667676.html
Versa SPF77XH,Спиннинговые,Versa,Спиннинг,XH,12,42,"2,4",6,8,Быстрый,,,,,35,22,2650,,spin_10144_SPF77XH,/uploads/rods/spin_10144_SPF77XH.png,https://potryasovgame.ru/page110667676.html
Cardena SPM68UL,Спиннинговые,Cardena,Спиннинг,UL,1,5,"2,1",3,4,Средний,100%,,,,8,20,2626,,spin_10063_SPM68UL,/uploads/rods/spin_10063_SPM68UL.png,https://potryasovgame.ru/page110667676.html
Cardena SPM68L,Спиннинговые,Cardena,Спиннинг,L,2,10,"2,1",3,4,Средний,50%,,,,20,20,2614,,spin_10063_SPM68L,/uploads/rods/spin_10063_SPM68L.png,https://potryasovgame.ru/page110667676.html
Versa SPF88MH,Спиннинговые,Versa,Спиннинг,MH,7,21,"2,7",6,7,Быстрый,,,,,"33,1",22,2500,,spin_10144_SPF88MH,/uploads/rods/spin_10144_SPF88MH.png,https://potryasovgame.ru/page110667676.html
Ethnic SPXF78H,Спиннинговые,Ethnic,Спиннинг,H,12,36,"2,4",4,7,Сверх,,,,,"36,1",16,2500,,spin_10105_SPXF78H,/uploads/rods/spin_10105_SPXF78H.png,https://potryasovgame.ru/page110667676.html
Advent S-F70MH,Спиннинговые,Advent,Спиннинг,MH,5,28,"2,1",7,7,Быстрый,,,,,32,26,2498,,spin_10154_F70MH,/uploads/rods/spin_10154_F70MH.png,https://potryasovgame.ru/page110667676.html
Versa SPF77M,Спиннинговые,Versa,Спиннинг,M,7,19,"2,4",6,7,Быстрый,,,,,"33,1",22,2400,,spin_10144_SPF77M,/uploads/rods/spin_10144_SPF77M.png,https://potryasovgame.ru/page110667676.html
Integra SPF70ML,Спиннинговые,Integra,Спиннинг,ML,"3,5",12,"2,1",3,5,Быстрый,25%,,,,26,20,2361,,spin_10143_SPF70ML,/uploads/rods/spin_10143_SPF70ML.png,https://potryasovgame.ru/page110667676.html
Versa SPF66M,Спиннинговые,Versa,Спиннинг,M,7,19,2,6,7,Быстрый,,,,,"33,1",22,2300,,spin_10144_SPF66M,/uploads/rods/spin_10144_SPF66M.png,https://potryasovgame.ru/page110667676.html
Model One S98H,Спиннинговые,Model,Спиннинг,H,15,50,3,2,6,Быстрый,,,,,"35,4",16,2248,,spin_10036_S98H,/uploads/rods/spin_10036_S98H.png,https://potryasovgame.ru/page110667676.html
Cardena SPF60L,Спиннинговые,Cardena,Спиннинг,L,2,7,"1,8",3,5,Быстрый,50%,,,,16,20,2114,,spin_10063_SPF60L,/uploads/rods/spin_10063_SPF60L.png,https://potryasovgame.ru/page110667676.html
Ethnic SPM78L,Спиннинговые,Ethnic,Спиннинг,L,2,10,"2,4",3,4,Средний,50%,,,,17,16,1974,,spin_10105_SPM78L,/uploads/rods/spin_10105_SPM78L.png,https://potryasovgame.ru/page110667676.html
Integra SPF77M,Спиннинговые,Integra,Спиннинг,M,5,"17,5","2,4",3,5,Быстрый,,,,,"32,2",20,1910,,spin_10143_SPF77M,/uploads/rods/spin_10143_SPF77M.png,https://potryasovgame.ru/page110667676.html
Ethnic SPM68UL,Спиннинговые,Ethnic,Спиннинг,UL,1,5,"2,1",3,3,Средний,100%,,,,7,16,1899,,spin_10105_SPM68UL,/uploads/rods/spin_10105_SPM68UL.png,https://potryasovgame.ru/page110667676.html
Integra SPF70MH,Спиннинговые,Integra,Спиннинг,MH,7,21,"2,1",3,5,Быстрый,,,,,"33,3",20,1850,,spin_10143_SPF70MH,/uploads/rods/spin_10143_SPF70MH.png,https://potryasovgame.ru/page110667676.html
Integra SPF70M,Спиннинговые,Integra,Спиннинг,M,5,"17,5","2,1",3,5,Быстрый,,,,,"32,2",20,1811,,spin_10143_SPF70M,/uploads/rods/spin_10143_SPF70M.png,https://potryasovgame.ru/page110667676.html
Ventura SPF70H,Спиннинговые,Ventura,Спиннинг,H,7,28,"2,1",3,5,Быстрый,,,,,"34,1",18,1810,,spin_10142_SPF70H,/uploads/rods/spin_10142_SPF70H.png,https://potryasovgame.ru/page110667676.html
Integra SPF66MH,Спиннинговые,Integra,Спиннинг,MH,7,21,2,3,5,Быстрый,,,,,"33,3",20,1799,,spin_10143_SPF66MH,/uploads/rods/spin_10143_SPF66MH.png,https://potryasovgame.ru/page110667676.html
Ventura SPF70MH,Спиннинговые,Ventura,Спиннинг,MH,7,21,"2,1",3,5,Быстрый,,,,,31,18,1766,,spin_10142_SPF70MH,/uploads/rods/spin_10142_SPF70MH.png,https://potryasovgame.ru/page110667676.html
Integra SPF66M,Спиннинговые,Integra,Спиннинг,M,6,16,2,3,5,Быстрый,,,,,"31,1",20,1720,,spin_10143_SPF66M,/uploads/rods/spin_10143_SPF66M.png,https://potryasovgame.ru/page110667676.html
Ventura SPXF66MH,Спиннинговые,Ventura,Спиннинг,MH,"10,5",28,2,3,6,Сверх,,,,,30,18,1699,,spin_10142_SPXF66MH,/uploads/rods/spin_10142_SPXF66MH.png,https://potryasovgame.ru/page110667676.html
Super Duty S88XH,Спиннинговые,Super,Спиннинг,XH,25,100,"2,7",4,8,Быстрый,,,,,"30,5",12,1649,,spin_10042_S88XH,/uploads/rods/spin_10042_S88XH.png,https://potryasovgame.ru/page110667676.html
Ventura SPF66ML,Спиннинговые,Ventura,Спиннинг,ML,"3,5",14,2,3,5,Быстрый,25%,,,,22,18,1590,,spin_10142_SPF66ML,/uploads/rods/spin_10142_SPF66ML.png,https://potryasovgame.ru/page110667676.html
Ventura SPXF70M,Спиннинговые,Ventura,Спиннинг,M,7,"17,5","2,1",3,6,Сверх,,,,,26,18,1590,,spin_10142_SPXF70M,/uploads/rods/spin_10142_SPXF70M.png,https://potryasovgame.ru/page110667676.html
Рязанка СКС,Спиннинговые,Рязанка,Спиннинг,L,2,10,"2,5",3,4,Средний,50%,,,,16,15,1590,,spin_10172,/uploads/rods/spin_10172.png,https://potryasovgame.ru/page110667676.html
Aeros SP60UL,Спиннинговые,Aeros,Спиннинг,UL,1,4,"1,8",5,5,Быстрый,100%,,,,"6,5",18,1560,,spin_10062_SP60UL,/uploads/rods/spin_10062_SP60UL.png,https://potryasovgame.ru/page110667676.html
Ethnic SPM88MH,Спиннинговые,Ethnic,Спиннинг,MH,7,28,"2,7",3,5,Средний,,,,,27,16,1550,,spin_10105_SPM88MH,/uploads/rods/spin_10105_SPM88MH.png,https://potryasovgame.ru/page110667676.html
Aeros SP60ML,Спиннинговые,Aeros,Спиннинг,ML,4,16,"1,8",5,5,Быстрый,25%,,,,"23,2",18,1505,,spin_10062_SP60ML,/uploads/rods/spin_10062_SP60ML.png,https://potryasovgame.ru/page110667676.html
Ethnic SPF88MH,Спиннинговые,Ethnic,Спиннинг,MH,7,21,"2,7",5,7,Быстрый,,,,,26,16,1491,,spin_10105_SPF88MH,/uploads/rods/spin_10105_SPF88MH.png,https://potryasovgame.ru/page110667676.html
Ethnic SPF78MH,Спиннинговые,Ethnic,Спиннинг,MH,7,21,"2,4",5,7,Быстрый,,,,,26,16,1430,,spin_10105_SPF78MH,/uploads/rods/spin_10105_SPF78MH.png,https://potryasovgame.ru/page110667676.html
Ethnic SPF66MH,Спиннинговые,Ethnic,Спиннинг,MH,7,21,2,5,7,Быстрый,,,,,26,16,1406,,spin_10105_SPF66MH,/uploads/rods/spin_10105_SPF66MH.png,https://potryasovgame.ru/page110667676.html
Aeros SP68MH,Спиннинговые,Aeros,Спиннинг,MH,7,28,"2,1",4,6,Быстрый,,,,,"27,6",18,1340,,spin_10062_SP68MH,/uploads/rods/spin_10062_SP68MH.png,https://potryasovgame.ru/page110667676.html
Model One S88MH,Спиннинговые,Model,Спиннинг,MH,10,35,"2,7",2,6,Быстрый,,,,,"25,5",16,1277,,spin_10036_S88MH,/uploads/rods/spin_10036_S88MH.png,https://potryasovgame.ru/page110667676.html
Model One S78L,Спиннинговые,Model,Спиннинг,L,2,10,"2,4",3,5,Быстрый,50%,,,,"15,7",16,1255,,spin_10036_S78L,/uploads/rods/spin_10036_S78L.png,https://potryasovgame.ru/page110667676.html
Model One S78ML,Спиннинговые,Model,Спиннинг,ML,6,24,"2,4",3,5,Быстрый,25%,,,,"21,8",16,1253,,spin_10036_S78ML,/uploads/rods/spin_10036_S78ML.png,https://potryasovgame.ru/page110667676.html
Model One S78M,Спиннинговые,Model,Спиннинг,M,5,30,"2,4",2,4,Средний,,,,,23,16,1233,,spin_10036_S78M,/uploads/rods/spin_10036_S78M.png,https://potryasovgame.ru/page110667676.html
Super Duty S88H,Спиннинговые,Super,Спиннинг,H,14,70,"2,7",4,7,Средний,,,,,"24,3",12,1099,,spin_10042_S88H,/uploads/rods/spin_10042_S88H.png,https://potryasovgame.ru/page110667676.html
Super Duty S78MH,Спиннинговые,Super,Спиннинг,MH,15,45,"2,4",4,8,Сверх,,,,,24,12,1048,,spin_10042_S78MH,/uploads/rods/spin_10042_S78MH.png,https://potryasovgame.ru/page110667676.html
Super Duty S78H,Спиннинговые,Super,Спиннинг,H,14,70,"2,4",4,7,Средний,,,,,"24,3",12,998,,spin_10042_S78H,/uploads/rods/spin_10042_S78H.png,https://potryasovgame.ru/page110667676.html
Mechta SXF88H,Спиннинговые,Mechta,Спиннинг,H,15,50,"2,7",5,8,Сверх,,,,,21,14,960,,spin_10121_SXF88H,/uploads/rods/spin_10121_SXF88H.png,https://potryasovgame.ru/page110667676.html
Mechta SM88MH,Спиннинговые,Mechta,Спиннинг,MH,7,35,"2,7",5,6,Средний,,,,,17,14,960,,spin_10121_SM88MH,/uploads/rods/spin_10121_SM88MH.png,https://potryasovgame.ru/page110667676.html
Linear S88XH,Спиннинговые,Linear,Спиннинг,XH,40,80,"2,7",5,10,Сверх,,,,,"20,1",10,941,,spin_10032_S88XH,/uploads/rods/spin_10032_S88XH.png,https://potryasovgame.ru/page110667676.html
