type,domain,systemId,name,brandHint,candidates,prefabPath
ambiguous_family,bait,boils_hvz_tf24,Тутти-Фрутти 24,van_zandt,2,
unknown_family,bait,boils_hvz_tp_pu12,Тропическй ананас Pop-Ups 12,van_zandt,,
unknown_family,bait,boils_hvz_tp_pu15,Тропическй ананас Pop-Ups 15,van_zandt,,
unknown_family,bait,boils_hvz_tp_pu20,Тропическй ананас Pop-Ups 20,van_zandt,,
ambiguous_family,bait,boils_hvz_van12,Ваниль 12,van_zandt,2,
ambiguous_family,bait,boils_hvz_van16,Ваниль 16,van_zandt,2,
ambiguous_family,bait,boils_hvz_van22,Ваниль 22,van_zandt,2,
ambiguous_family,bait,boils_op_ban14,Банан 14,old_pal,2,
ambiguous_family,bait,boils_op_ban20,Банан 20,old_pal,2,
ambiguous_family,bait,boils_op_ban26,Банан 26,old_pal,2,
ambiguous_family,bait,boils_op_blw10,Мотыль 10,old_pal,2,
ambiguous_family,bait,boils_op_blw14,Мотыль 14,old_pal,2,
ambiguous_family,bait,boils_op_cc12,Кокос и сливки 12,old_pal,3,
ambiguous_family,bait,boils_op_cc16,Кокос и сливки 16,old_pal,3,
ambiguous_family,bait,boils_op_cc22,Кокос и сливки 22,old_pal,3,
ambiguous_family,bait,boils_op_fwk14,Пресноводный криль 14,old_pal,2,
ambiguous_family,bait,boils_op_fwk18,Пресноводный криль 18,old_pal,2,
ambiguous_family,bait,boils_op_hal14,Палтус 14,old_pal,3,
ambiguous_family,bait,boils_op_hal20,Палтус 20,old_pal,3,
ambiguous_family,bait,boils_op_mc15,Мятный торт 15,old_pal,2,
ambiguous_family,bait,boils_op_mc20,Мятный торт 20,old_pal,2,
ambiguous_family,bait,boils_op_mc25,Мятный торт 25,old_pal,2,
ambiguous_family,bait,boils_op_rj15,Малиновый джем 15,old_pal,2,
ambiguous_family,bait,boils_op_rj20,Малиновый джем 20,old_pal,2,
ambiguous_family,bait,boils_op_rj25,Малиновый джем 25,old_pal,2,
ambiguous_family,bait,boils_op_sc14,Сахарная кукуруза 14,old_pal,2,
ambiguous_family,bait,boils_op_sc20,Сахарная кукуруза 20,old_pal,2,
ambiguous_family,bait,boils_op_sc26,Сахарная кукуруза 26,old_pal,2,
ambiguous_family,bait,boils_op_sf14,Семена подсолнуха 14,old_pal,2,
ambiguous_family,bait,boils_op_sf20,Семена подсолнуха 20,old_pal,2,
ambiguous_family,bait,boils_op_sf26,Семена подсолнуха 26,old_pal,2,
ambiguous_family,bait,boils_op_smk14,Копчёности 14,old_pal,3,
ambiguous_family,bait,boils_op_smk20,Копчёности 20,old_pal,3,
ambiguous_family,bait,boils_op_smk30,Копчёности 30,old_pal,3,
missing_public_name,bait,boils_pm_hn20,,,,assets/gfx/baits/boil/boils_pm/prefabs/boils_pm_hn20.prefab
unknown_family,bait,bread,Хлеб,,,
unknown_family,bait,cabbage,Капустный лист,,,
unknown_family,bait,caddisfly,Ручейник,,,
ambiguous_family,bait,caviar,Икра,,2,
unknown_family,bait,cheese_cube,Сырный кубик,,,
unknown_family,bait,corn,Зерна кукурузы,,,
unknown_family,bait,crawfish_meat,Раковая шейка,,,
unknown_family,bait,cricket,Сверчок,,,
ambiguous_family,bait,crn_cb_bfc,Банан,craft_baits,2,
unknown_family,bait,crn_cb_cfc,Цитрусы,craft_baits,,
unknown_family,bait,crn_cb_ffc,Фрукты,craft_baits,,
unknown_family,bait,crn_cb_nfc_flr,Натуральный вкус FLR,craft_baits,,
unknown_family,bait,crn_cb_nfc_neo,Натуральный вкус NEO,craft_baits,,
unknown_family,bait,crn_cb_nfc_org,Натуральный вкус ORG,craft_baits,,
unknown_family,bait,crn_cb_nfc_red,Натуральный вкус RED,craft_baits,,
unknown_family,bait,crn_cb_nfc_ylw,Натуральный вкус YLW,craft_baits,,
unknown_family,bait,crn_cb_nfc_ylw2,Натуральный вкус YLW2,craft_baits,,
unknown_family,bait,crn_cb_rbfc,Малина,craft_baits,,
ambiguous_family,bait,crn_cb_sbfc,Клубника,craft_baits,2,
unknown_family,bait,crn_cb_sfc,Специи,craft_baits,,
unknown_family,bait,crn_cb_sqfc,Кальмар,craft_baits,,
ambiguous_family,bait,crn_op_bccp,Черная смородина Фиолетовый,old_pal,3,
ambiguous_family,bait,crn_op_bccy,Черная смородина Жёлтый,old_pal,3,
ambiguous_family,bait,crn_op_bcy,Банан,old_pal,2,
unknown_family,bait,crn_op_cbcr,Клюква,old_pal,,
unknown_family,bait,crn_op_cccw,Кокосовый крем,old_pal,,
ambiguous_family,bait,crn_op_ccr,Икра Красный,old_pal,2,
ambiguous_family,bait,crn_op_ccy,Икра Жёлтый,old_pal,2,
unknown_family,bait,crn_op_ebcr,Ягодный микс,old_pal,,
unknown_family,bait,crn_op_mbcp,Шелковица Фиолетовый,old_pal,,
unknown_family,bait,crn_op_mbcy,Шелковица Жёлтый,old_pal,,
unknown_family,bait,crn_op_rbcp,Малина,old_pal,,
ambiguous_family,bait,crn_op_sbcr,Клубника,old_pal,2,
unknown_family,bait,crn_op_scn_f,Натуральный Флуоресцентный,old_pal,,
unknown_family,bait,crn_op_scn_g,Натуральный Зеленый,old_pal,,
unknown_family,bait,crn_op_scn_o,Натуральный Оранжевый,old_pal,,
unknown_family,bait,crn_op_scn_p,Натуральный Розовый,old_pal,,
unknown_family,bait,crn_op_scn_r,Натуральный Красный,old_pal,,
unknown_family,bait,crn_op_scn_w,Натуральный Белый,old_pal,,
unknown_family,bait,crn_op_scn_y,Натуральный Жёлтый,old_pal,,
unknown_family,bait,crn_op_scy,Пряности,old_pal,,
unknown_family,bait,crn_op_sqcr,Кальмар Красный,old_pal,,
unknown_family,bait,crn_op_sqcy,Кальмар Жёлтый,old_pal,,
unknown_family,bait,fb_bf_makrel,Большое филе - Макрель,,,
unknown_family,bait,fb_bf_saida,Большое филе - Сайда,,,
unknown_family,bait,fb_bf_seld,Большое филе - Сельдь,,,
unknown_family,bait,fb_d_makrel,Мёртвая макрель,,,
unknown_family,bait,fb_d_saida,Мёртвая сайда,,,
unknown_family,bait,fb_d_seld,Мёртвая сельдь,,,
unknown_family,bait,fb_gf_makrel,Огромное филе - Макрель,,,
unknown_family,bait,fb_gf_saida,Огромное филе - Сайда,,,
unknown_family,bait,fb_gf_seld,Огромное филе - Сельдь,,,
unknown_family,bait,fb_lf_makrel,Маленькое филе - Макрель,,,
unknown_family,bait,fb_lf_saida,Маленькое филе - Сайда,,,
unknown_family,bait,fb_lf_seld,Маленькое филе - Сельдь,,,
unknown_family,bait,fb_sf_makrel,Полоска филе - Макрель,,,
unknown_family,bait,fb_sf_saida,Полоска филе - Сайда,,,
unknown_family,bait,fb_sf_seld,Полоска филе - Сельдь,,,
unknown_family,bait,dorbeetle,Жук навозный,,,
unknown_family,bait,dough_cottage,Тесто творожное,,,
unknown_family,bait,dough_egg,Тесто яичное,,,
unknown_family,bait,dough_garlic,Тесто чесночное,,,
unknown_family,bait,dough_honey,Тесто медовое,,,
unknown_family,bait,dough_sweet,Тесто сладкое,,,
unknown_family,bait,bait_dreissena,Мясо дрейссены,,,
unknown_family,bait,fb_lugworm,Червяк пескожил,,,
unknown_family,bait,fb_mussel,Мясо мидии,,,
unknown_family,bait,fb_nereis,Нереис,,,
unknown_family,bait,fb_scallop,Мясо морского гребешка,,,
unknown_family,bait,fb_shrimp,Креветка,,,
unknown_family,bait,fb_squid,Мясо кальмара,,,
unknown_family,bait,fish_pieces,Кусочки рыбы,,,
unknown_family,bait,fly,Муха,,,
unknown_family,bait,gadfly,Овод,,,
unknown_family,bait,gadfly_little,Слепень,,,
unknown_family,bait,grasshopper,Кузнечик,,,
unknown_family,bait,gryllotalpa,Медведка,,,
unknown_family,bait,bluegill_lf,Солнечник синежаберный,,,
unknown_family,bait,c_bleak_lf,Уклейка,,,
unknown_family,bait,c_carp_lf,Карась золотой,,,
unknown_family,bait,c_roach_lf,Плотва обыкновенная,,,
unknown_family,bait,c_roach_syb_lf_3,Плотва сибирская,,,
unknown_family,bait,crucian_lf,Карась серебряный,,,
unknown_family,bait,gizshad_lf,Доросома северная,,,
unknown_family,bait,golian_lf_2,Гольян озерный,,,
unknown_family,bait,gudgeon_lf,Пескарь,,,
unknown_family,bait,gudgeon_syb_lf,Пескарь сибирский,,,
unknown_family,bait,lamprey_lf,Минога,,,
missing_public_name,bait,large_fish,,,,assets/gfx/baits/live_fish/large_fish.prefab
unknown_family,bait,perch_lf,Окунь,,,
unknown_family,bait,redsunfish_lf,Солнечник красноухий,,,
unknown_family,bait,ruffe_lf,Ёрш,,,
unknown_family,bait,s_bream_lf,Густера,,,
missing_public_name,bait,small_fish,,,,assets/gfx/baits/live_fish/small_fish.prefab
unknown_family,bait,snetok_lf,Снеток,,,
unknown_family,bait,sybgolec_lf,Голец сибирский-усач,,,
missing_public_name,bait,tiny_fish,,,,assets/gfx/baits/live_fish/tiny_fish.prefab
unknown_family,bait,tiulka_lf,Тюлька,,,
unknown_family,bait,maggot,Опарыш,,,
unknown_family,bait,maggot_caster,Кастер,,,
unknown_family,bait,maybug,Майский жук,,,
unknown_family,bait,maybug_larva,Личинка майского жука,,,
unknown_family,bait,mayfly,Поденка,,,
unknown_family,bait,gammarus_fresh,Бокоплав пресноводный,,,
unknown_family,bait,muckworm,Червь навозный,,,
unknown_family,bait,naiad,Личинка поденки,,,
ambiguous_family,bait,hvz_t_nuts,Тигровый орех,van_zandt,2,
unknown_family,bait,peas,Горошек,,,
ambiguous_family,bait,plt_cb_cvr14,Икра 14,craft_baits,2,
ambiguous_family,bait,plt_cb_cvr18,Икра 18,craft_baits,2,
ambiguous_family,bait,plt_cb_cvr24,Икра 24,craft_baits,2,
ambiguous_family,bait,plt_cb_cwf14,Речной рак 14,craft_baits,2,
ambiguous_family,bait,plt_cb_cwf18,Речной рак 18,craft_baits,2,
ambiguous_family,bait,plt_cb_cwf24,Речной рак 24,craft_baits,2,
ambiguous_family,bait,plt_cb_sgp18,Пряный чеснок 18,craft_baits,2,
ambiguous_family,bait,plt_cb_sgp24,Пряный чеснок 24,craft_baits,2,
ambiguous_family,bait,plt_cb_sqh16,Кальмар и травы 16,craft_baits,2,
ambiguous_family,bait,plt_cb_sqh22,Кальмар и травы 22,craft_baits,2,
ambiguous_family,bait,plt_cb_sqh26,Кальмар и травы 26,craft_baits,2,
ambiguous_family,bait,plt_hvz_ap14,Амино 14,van_zandt,3,
ambiguous_family,bait,plt_hvz_ap18,Амино 18,van_zandt,3,
ambiguous_family,bait,plt_hvz_ap24,Амино 24,van_zandt,3,
ambiguous_family,bait,plt_hvz_ap8,Амино 8,van_zandt,3,
ambiguous_family,bait,plt_hvz_kcp14,Королевский краб 14,van_zandt,3,
ambiguous_family,bait,plt_hvz_kcp18,Королевский краб 18,van_zandt,3,
ambiguous_family,bait,plt_hvz_kcp24,Королевский краб 24,van_zandt,3,
ambiguous_family,bait,plt_hvz_rkp14,Красный криль 14,van_zandt,2,
ambiguous_family,bait,plt_hvz_rkp18,Красный криль 18,van_zandt,2,
ambiguous_family,bait,plt_hvz_rkp8,Красный криль 8,van_zandt,2,
ambiguous_family,bait,plt_hvz_vp14,Ваниль 14,van_zandt,2,
ambiguous_family,bait,plt_hvz_vp18,Ваниль 18,van_zandt,2,
ambiguous_family,bait,plt_hvz_vp24,Ваниль 24,van_zandt,2,
ambiguous_family,bait,plt_hvz_vp8,Ваниль 8,van_zandt,2,
ambiguous_family,bait,plt_op_ccp14,Кокос и сливки 14,old_pal,3,
ambiguous_family,bait,plt_op_ccp18,Кокос и сливки 18,old_pal,3,
ambiguous_family,bait,plt_op_ccp25,Кокос и сливки 25,old_pal,3,
ambiguous_family,bait,plt_op_ccp8,Кокос и сливки 8,old_pal,3,
ambiguous_family,bait,plt_op_fkp10,Пресноводный криль 10,old_pal,2,
ambiguous_family,bait,plt_op_fkp14,Пресноводный криль 14,old_pal,2,
ambiguous_family,bait,plt_op_fkp18,Пресноводный криль 18,old_pal,2,
ambiguous_family,bait,plt_op_fkp25,Пресноводный криль 25,old_pal,2,
ambiguous_family,bait,plt_op_gcp14,Десерт из трав 14,old_pal,2,
ambiguous_family,bait,plt_op_gcp18,Десерт из трав 18,old_pal,2,
ambiguous_family,bait,plt_op_gcp25,Десерт из трав 25,old_pal,2,
ambiguous_family,bait,plt_op_hbp14,Палтус 14,old_pal,3,
ambiguous_family,bait,plt_op_hbp18,Палтус 18,old_pal,3,
ambiguous_family,bait,plt_op_hbp25,Палтус 25,old_pal,3,
unknown_family,bait,plt_op_mcp14,Мятный пряник 14,old_pal,,
unknown_family,bait,plt_op_mcp18,Мятный пряник 18,old_pal,,
unknown_family,bait,plt_op_mcp25,Мятный пряник 25,old_pal,,
ambiguous_family,bait,plt_op_scr14,Сладкие сливки 14,old_pal,2,
ambiguous_family,bait,plt_op_scr18,Сладкие сливки 18,old_pal,2,
ambiguous_family,bait,plt_op_scr8,Сладкие сливки 8,old_pal,2,
ambiguous_family,bait,plt_op_skp15,Копчености 15,old_pal,3,
ambiguous_family,bait,plt_op_skp18,Копчености 18,old_pal,3,
ambiguous_family,bait,plt_op_skp25,Копчености 25,old_pal,3,
unknown_family,bait,porridge_corn,Каша кукурузная,,,
unknown_family,bait,porridge_oatmeal,Каша овсяная,,,
unknown_family,bait,porridge_pea,Каша гороховая,,,
unknown_family,bait,porridge_pearl_barley,Каша перловая,,,
unknown_family,bait,porridge_semolina,Каша манная,,,
unknown_family,bait,potato,Картофельный кубик,,,
unknown_family,bait,scolytinae,Личинка короеда,,,
unknown_family,bait,stonefly_nymph,Личинка веснянки,,,
unknown_family,bait,sunflower_cake,Жмых,,,
missing_public_name,bait,p_surv_worm,,,,assets/gfx/baits/surv_worm/p_surv_worm.prefab
unknown_family,bait,unibeetle_larva,Личинка жука-носорога,,,
unknown_family,bait,unio_crassus,Мясо перловицы,,,
unknown_family,bait,vypolzok_01,Выползок,,,
missing_public_name,bait,vypolzok_01_nonposed,,,,assets/gfx/baits/vypolzok_01/vypolzok_01_nonposed.prefab
unknown_family,bait,waterbug,Жук-плавунец,,,
unknown_family,bait,watergrass,Пучок водорослей,,,
unknown_family,bait,wheat_grain,Зерна пшеницы,,,
unknown_family,bait,worm_01,Червь,,,
unknown_family,bait,worm_asurv,"Червь навозный ""Астраханский живучий""",,,
unknown_family,bait,worm_msor,"Червь ""Московский сортовой""",,,
unknown_family,bait,worm_orlen,"Червь ""Ленинградский""",,,
unknown_family,bait,worm_sur,"Червь ""Сурский Навозник""",,,
unknown_family,bait,worm_volh,"Червь навозный ""Волховский""",,,
unknown_family,bait,baitfrog,Лягушка,,,
unknown_family,lure,jhead_21045,DF Huge Jig RED 150,berserk_hooks,,
unknown_family,lure,jhead_21046,DF Huge Jig BLUE 150,berserk_hooks,,
unknown_family,lure,jhead_21047,DF Huge Jig GREEN 150,berserk_hooks,,
unknown_family,lure,jhead_21048,DF Huge Jig RED 350,berserk_hooks,,
unknown_family,lure,jhead_21049,DF Huge Jig BLUE 350,berserk_hooks,,
unknown_family,lure,jhead_21050,DF Huge Jig GREEN 350,berserk_hooks,,
unknown_family,lure,jhead_21051,DF Huge Jig RED 500,berserk_hooks,,
unknown_family,lure,jhead_21052,DF Huge Jig BLUE 500,berserk_hooks,,
unknown_family,lure,jhead_21053,DF Huge Jig GREEN 500,berserk_hooks,,
unknown_family,lure,jhead_21054,DF Huge Jig RED 750,berserk_hooks,,
unknown_family,lure,jhead_21055,DF Huge Jig BLUE 750,berserk_hooks,,
unknown_family,lure,jhead_21056,DF Huge Jig GREEN 750,berserk_hooks,,
unknown_family,lure,jhead_21080,DF Huge Jig PINK 150,berserk_hooks,,
unknown_family,lure,jhead_21081,DF Huge Jig SILVER 150,berserk_hooks,,
unknown_family,lure,jhead_21082,DF Huge Jig PINK 350,berserk_hooks,,
unknown_family,lure,jhead_21083,DF Huge Jig SILVER 350,berserk_hooks,,
unknown_family,lure,jhead_21084,DF Huge Jig PINK 500,berserk_hooks,,
unknown_family,lure,jhead_21085,DF Huge Jig SILVER 500,berserk_hooks,,
unknown_family,lure,jhead_21086,DF Huge Jig PINK 750,berserk_hooks,,
unknown_family,lure,jhead_21087,DF Huge Jig SILVER 750,berserk_hooks,,
unknown_family,lure,jhead_21025,GigaJig head FR 280,cobra,,
unknown_family,lure,jhead_21026,GigaJig head BLU 280,cobra,,
unknown_family,lure,jhead_21027,GigaJig head ROS 280,cobra,,
unknown_family,lure,jhead_21028,GigaJig head GR 280,cobra,,
unknown_family,lure,jhead_21029,GigaJig head NAT 280,cobra,,
unknown_family,lure,jhead_21030,GigaJig head FR 380,cobra,,
unknown_family,lure,jhead_21031,GigaJig head BLU 380,cobra,,
unknown_family,lure,jhead_21032,GigaJig head ROS 380,cobra,,
unknown_family,lure,jhead_21033,GigaJig head GR 380,cobra,,
unknown_family,lure,jhead_21034,GigaJig head NAT 380,cobra,,
unknown_family,lure,jhead_21035,GigaJig head FR 500,cobra,,
unknown_family,lure,jhead_21036,GigaJig head BLU 500,cobra,,
unknown_family,lure,jhead_21037,GigaJig head ROS 500,cobra,,
unknown_family,lure,jhead_21038,GigaJig head GR 500,cobra,,
unknown_family,lure,jhead_21039,GigaJig head NAT 500,cobra,,
unknown_family,lure,jhead_21040,GigaJig head FR 700,cobra,,
unknown_family,lure,jhead_21041,GigaJig head BLU 700,cobra,,
unknown_family,lure,jhead_21042,GigaJig head ROS 700,cobra,,
unknown_family,lure,jhead_21043,GigaJig head GR 700,cobra,,
unknown_family,lure,jhead_21044,GigaJig head NAT 700,cobra,,
unknown_family,lure,hm_jerk_f_100f_001_hq,Wooden Jerk-Fat 100F-001,Handmade,,
unknown_family,lure,hm_jerk_f_100f_001_lq,Wooden Jerk-Fat 100F-001,Handmade,,
unknown_family,lure,hm_jerk_f_100f_001_mq,Wooden Jerk-Fat 100F-001,Handmade,,
unknown_family,lure,hm_jerk_f_100f_002_hq,Wooden Jerk-Fat 100F-002,Handmade,,
unknown_family,lure,hm_jerk_f_100f_002_lq,Wooden Jerk-Fat 100F-002,Handmade,,
unknown_family,lure,hm_jerk_f_100f_002_mq,Wooden Jerk-Fat 100F-002,Handmade,,
unknown_family,lure,hm_jerk_f_100f_003_hq,Wooden Jerk-Fat 100F-003,Handmade,,
unknown_family,lure,hm_jerk_f_100f_003_lq,Wooden Jerk-Fat 100F-003,Handmade,,
unknown_family,lure,hm_jerk_f_100f_003_mq,Wooden Jerk-Fat 100F-003,Handmade,,
unknown_family,lure,hm_jerk_f_100f_004_hq,Wooden Jerk-Fat 100F-004,Handmade,,
unknown_family,lure,hm_jerk_f_100f_004_lq,Wooden Jerk-Fat 100F-004,Handmade,,
unknown_family,lure,hm_jerk_f_100f_004_mq,Wooden Jerk-Fat 100F-004,Handmade,,
unknown_family,lure,hm_jerk_f_100f_005_hq,Wooden Jerk-Fat 100F-005,Handmade,,
unknown_family,lure,hm_jerk_f_100f_005_lq,Wooden Jerk-Fat 100F-005,Handmade,,
unknown_family,lure,hm_jerk_f_100f_005_mq,Wooden Jerk-Fat 100F-005,Handmade,,
unknown_family,lure,hm_jerk_f_140f_001_hq,Wooden Jerk-Fat 140F-001,Handmade,,
unknown_family,lure,hm_jerk_f_140f_001_lq,Wooden Jerk-Fat 140F-001,Handmade,,
unknown_family,lure,hm_jerk_f_140f_001_mq,Wooden Jerk-Fat 140F-001,Handmade,,
unknown_family,lure,hm_jerk_f_140f_002_hq,Wooden Jerk-Fat 140F-002,Handmade,,
unknown_family,lure,hm_jerk_f_140f_002_lq,Wooden Jerk-Fat 140F-002,Handmade,,
unknown_family,lure,hm_jerk_f_140f_002_mq,Wooden Jerk-Fat 140F-002,Handmade,,
unknown_family,lure,hm_jerk_f_140f_003_hq,Wooden Jerk-Fat 140F-003,Handmade,,
unknown_family,lure,hm_jerk_f_140f_003_lq,Wooden Jerk-Fat 140F-003,Handmade,,
unknown_family,lure,hm_jerk_f_140f_003_mq,Wooden Jerk-Fat 140F-003,Handmade,,
unknown_family,lure,hm_jerk_f_140f_004_hq,Wooden Jerk-Fat 140F-004,Handmade,,
unknown_family,lure,hm_jerk_f_140f_004_lq,Wooden Jerk-Fat 140F-004,Handmade,,
unknown_family,lure,hm_jerk_f_140f_004_mq,Wooden Jerk-Fat 140F-004,Handmade,,
unknown_family,lure,hm_jerk_f_140f_005_hq,Wooden Jerk-Fat 140F-005,Handmade,,
unknown_family,lure,hm_jerk_f_140f_005_lq,Wooden Jerk-Fat 140F-005,Handmade,,
unknown_family,lure,hm_jerk_f_140f_005_mq,Wooden Jerk-Fat 140F-005,Handmade,,
unknown_family,lure,hm_jerk_s_110f_001_hq,Wooden Jerk-Slim 110F-001,Handmade,,
unknown_family,lure,hm_jerk_s_110f_001_lq,Wooden Jerk-Slim 110F-001,Handmade,,
unknown_family,lure,hm_jerk_s_110f_001_mq,Wooden Jerk-Slim 110F-001,Handmade,,
unknown_family,lure,hm_jerk_s_110f_002_hq,Wooden Jerk-Slim 110F-002,Handmade,,
unknown_family,lure,hm_jerk_s_110f_002_lq,Wooden Jerk-Slim 110F-002,Handmade,,
unknown_family,lure,hm_jerk_s_110f_002_mq,Wooden Jerk-Slim 110F-002,Handmade,,
unknown_family,lure,hm_jerk_s_110f_003_hq,Wooden Jerk-Slim 110F-003,Handmade,,
unknown_family,lure,hm_jerk_s_110f_003_lq,Wooden Jerk-Slim 110F-003,Handmade,,
unknown_family,lure,hm_jerk_s_110f_003_mq,Wooden Jerk-Slim 110F-003,Handmade,,
unknown_family,lure,hm_jerk_s_110f_004_hq,Wooden Jerk-Slim 110F-004,Handmade,,
unknown_family,lure,hm_jerk_s_110f_004_lq,Wooden Jerk-Slim 110F-004,Handmade,,
unknown_family,lure,hm_jerk_s_110f_004_mq,Wooden Jerk-Slim 110F-004,Handmade,,
unknown_family,lure,hm_jerk_s_110f_005_hq,Wooden Jerk-Slim 110F-005,Handmade,,
unknown_family,lure,hm_jerk_s_110f_005_lq,Wooden Jerk-Slim 110F-005,Handmade,,
unknown_family,lure,hm_jerk_s_110f_005_mq,Wooden Jerk-Slim 110F-005,Handmade,,
unknown_family,lure,hm_jerk_s_170f_001_hq,Wooden Jerk-Slim 170F-001,Handmade,,
unknown_family,lure,hm_jerk_s_170f_001_lq,Wooden Jerk-Slim 170F-001,Handmade,,
unknown_family,lure,hm_jerk_s_170f_001_mq,Wooden Jerk-Slim 170F-001,Handmade,,
unknown_family,lure,hm_jerk_s_170f_002_hq,Wooden Jerk-Slim 170F-002,Handmade,,
unknown_family,lure,hm_jerk_s_170f_002_lq,Wooden Jerk-Slim 170F-002,Handmade,,
unknown_family,lure,hm_jerk_s_170f_002_mq,Wooden Jerk-Slim 170F-002,Handmade,,
unknown_family,lure,hm_jerk_s_170f_003_hq,Wooden Jerk-Slim 170F-003,Handmade,,
unknown_family,lure,hm_jerk_s_170f_003_lq,Wooden Jerk-Slim 170F-003,Handmade,,
unknown_family,lure,hm_jerk_s_170f_003_mq,Wooden Jerk-Slim 170F-003,Handmade,,
unknown_family,lure,hm_jerk_s_170f_004_hq,Wooden Jerk-Slim 170F-004,Handmade,,
unknown_family,lure,hm_jerk_s_170f_004_lq,Wooden Jerk-Slim 170F-004,Handmade,,
unknown_family,lure,hm_jerk_s_170f_004_mq,Wooden Jerk-Slim 170F-004,Handmade,,
unknown_family,lure,hm_jerk_s_170f_005_hq,Wooden Jerk-Slim 170F-005,Handmade,,
unknown_family,lure,hm_jerk_s_170f_005_lq,Wooden Jerk-Slim 170F-005,Handmade,,
unknown_family,lure,hm_jerk_s_170f_005_mq,Wooden Jerk-Slim 170F-005,Handmade,,
unknown_family,lure,hm_shad_140f_001_hq,Balsa Shad 140F-001,Handmade,,
unknown_family,lure,hm_shad_140f_001_lq,Balsa Shad 140F-001,Handmade,,
unknown_family,lure,hm_shad_140f_001_mq,Balsa Shad 140F-001,Handmade,,
unknown_family,lure,hm_shad_140f_002_hq,Balsa Shad 140F-002,Handmade,,
unknown_family,lure,hm_shad_140f_002_lq,Balsa Shad 140F-002,Handmade,,
unknown_family,lure,hm_shad_140f_002_mq,Balsa Shad 140F-002,Handmade,,
unknown_family,lure,hm_shad_140f_003_hq,Balsa Shad 140F-003,Handmade,,
unknown_family,lure,hm_shad_140f_003_lq,Balsa Shad 140F-003,Handmade,,
unknown_family,lure,hm_shad_140f_003_mq,Balsa Shad 140F-003,Handmade,,
unknown_family,lure,hm_shad_140f_004_hq,Balsa Shad 140F-004,Handmade,,
unknown_family,lure,hm_shad_140f_004_lq,Balsa Shad 140F-004,Handmade,,
unknown_family,lure,hm_shad_140f_004_mq,Balsa Shad 140F-004,Handmade,,
