name,category,brend,source_url,size,protection,test,test_mod,per,per_mod,speed,speed_mod,frik,frik_mod,meh,meh_mod,lvl,price_ser,price_gold,capacity,capacity_mod,system_id,photo
Goliaf 20000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,20000,true,30,,"5,8:1",,"1,64",,"31,8",,"105,28",,32,33199,"159,34",,,spin_5325,/uploads/reels/spin_5325.png
Turion SW 10000,Безинерционные,Reef,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,9:1",,"1,19",,"34,5",,"114,29",,32,45800,"191,82",,,spin_5272,/uploads/reels/spin_5272.png
Furia 10000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,6:1",,"1,11",,"34,9",,"118,27",,32,41000,"180,07",,,spin_5689,/uploads/reels/spin_5689.png
Furia 10000 SHS,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"6,2:1",,"1,64",,34,,"104,74",,32,37499,"171,03",,,spin_5688,/uploads/reels/spin_5688.png
Venga II 10000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"5,0:1",,"1,22",,"32,7",,"108,31",,30,34500,"162,95",,,spin_6045,/uploads/reels/spin_6045.png
Venga II 10000 Super 9,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"5,0:1",,"1,22",,34,,"108,31",,30,,"162,95",,,spin_7001,/uploads/reels/spin_7001.png
Venga Classic 10000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"5,1:1",,"1,23",,"31,7",,98,,30,32722,158,,,spin_6041,/uploads/reels/spin_6041.png
Venga II 10000 Final,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"5,1:1",,"1,23",,"31,7",,98,,30,,158,,,spin_6042,/uploads/reels/spin_6042.png
Venga 10000 6 An.,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,9:1",,"1,15",,"31,7",,"111,1",,30,,,,,spin_5928,/uploads/reels/spin_5928.png
Goliaf 10000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,9:1",,"1,18",,"30,8",,"112,61",,30,31500,"154,52",,,spin_5324,/uploads/reels/spin_5324.png
Admiral II 10000S,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,1:1",,"1,06",,29,,"76,42",,29,25196,"125,97",,,spin_6118,/uploads/reels/spin_6118.png
Admiral II 10000S Superior,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,6:1",,"1,17",,30,,"79,87",,29,,"125,97",,,spin_6038,/uploads/reels/spin_6038.png
Olaf Stark SP-SWG 100,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,9:1",,"1,18",,"28,2",,"71,78",,27,,"122,15",,,spin_5699,/uploads/reels/spin_5699.png
Azimut 10000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,10000,true,18,,"5,4:1",,"1,26",,"27,2",,55,,26,21600,"115,61",,,spin_5319,/uploads/reels/spin_5319.png
Tagara II 10000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,3:1",,"1,25",,"26,3",,"62,45",,26,21872,"116,42",,,spin_5679,/uploads/reels/spin_5679.png
Tagara II 10000 8-An.,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,2:1",,"1,22",,"27,2",,"65,53",,26,,,,,spin_5719,/uploads/reels/spin_5719.png
Tagara 10000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,10000,true,18,,"4,2:1",,"1,02",,"26,3",,62,,26,,,,,spin_5152,/uploads/reels/spin_5152.png
Turion SW 8000,Безинерционные,Reef,https://potryasovgame.ru/page110667406.html,8000,true,12,,"5,6:1",,"1,05",,"30,8",,"110,68",,30,32500,"157,37",,,spin_5271,/uploads/reels/spin_5271.png
Venga II 8000 SHS,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"6,1:1",,"1,17",,30,"31,7","80,25",,28,26900,"134,49",,,spin_6044,/uploads/reels/spin_6044.png
Venga 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"6,0:1",,"1,14",,"27,2",,"83,98",,30,,,,,spin_5139,/uploads/reels/spin_5139.png
Megara 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,7:1",,"1,13",,"25,4",,"71,76",,28,22472,118,,,c_spin_5382,/uploads/reels/c_spin_5382.png
Overlord 88,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,5:1",,"1,05",,"24,5",,"81,46",,27,17889,119,,,spin_5817,/uploads/reels/spin_5817.png
Bestia II 8000 SHS,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"6,4:1",,"1,34",,"24,5",,"66,7",,26,16604,"98,38",,,spin_5687,/uploads/reels/spin_5687.png
Bestia 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"5,2:1",,"1,04",,"24,5",,"68,01",,28,,,,,spin_5137,/uploads/reels/spin_5137.png
Azimut 8000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,8000,true,12,,"5,4:1",,"1,05",,"23,6",,"49,63",,26,15900,"95,59",,,spin_5318,/uploads/reels/spin_5318.png
Admiral II 8000S,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,8:1",,"1,01",,"23,6",,"66,95",,26,15099,"92,31",,,spin_6112,/uploads/reels/spin_6112.png
Admiral 8000s,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,8:1",,"0,94",,"23,5",,"58,48",,28,,,,,spin_5222,/uploads/reels/spin_5222.png
Tagara II 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,5:1",,"1,05",,"22,6","23,7","57,06",,26,14655,"89,9",,,spin_5678,/uploads/reels/spin_5678.png
Tagara 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,7:1",,"0,89",,"22,6","23,7","53,87",,26,14655,90,,,spin_5151,/uploads/reels/spin_5151.png
Silver 80,Безинерционные,Tama,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,3:1",,"0,96",,"23,6",,"67,04",,26,13999,"87,61",,,spin_5451,/uploads/reels/spin_5451.png
Everest III 8000S,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,4:1","5,4:1","0,91","1,11",22,,"48,66",,25,11299,75,,,spin_6090,/uploads/reels/spin_6090.png
Everest II 8000s,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,false,12,,"3,6:1",,"0,58",,22,,"44,62",,26,,,,,spin_5118,/uploads/reels/spin_5118.png
Everest-24 8000s,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,7:1",,"0,67",,"22,7",,52,,26,11320,"75,11",,,spin_6006,/uploads/reels/spin_6006.png
SG8000 Ultra Power,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,8000,true,12,,"5,7:1",,"1,26",,"19,5","20,2","51,14",,25,9988,"68,31",,,spin_5700,/uploads/reels/spin_5700.png
Evia 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,7:1",,"1,13",,"18,1","19,6","41,7",,24,8475,60,,,c_spin_5383,/uploads/reels/c_spin_5383.png
Hunter 80S,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,7:1",,"1,04",,"18,5",,"49,13",,22,7500,"54,45",,,spin_7016,/uploads/reels/spin_7016.png
Hunter 80S 9-Years,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,7:1",,"1,04",,"18,5",,"49,13",,20,,"54,45",,,spin_7005,/uploads/reels/spin_7005.png
Natora 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"5,3:1",,"1,05",,"18,1","19,6","43,76",,22,7085,52,,,spin_5127,/uploads/reels/spin_5127.png
Natora 8000 Super Seven,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,8:1",,"0,94",,"18,1","19,6","47,39",,0,,,,,spin_6020,/uploads/reels/spin_6020.png
Velara 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"5,4:1",,"0,97",,"17,5",,"41,78",,21,5499,"42,09",,,spin_6027,/uploads/reels/spin_6027.png
Velara 8000 Mystique,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"5,4:1",,"0,97",,"17,5",,"41,78",,21,,"42,09",,,spin_6029,/uploads/reels/spin_6029.png
Caliber 80 SLC,Безинерционные,Syberia,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,2:1",,"1,03",,"17,2",19,"37,74",,24,5312,40,,,c_spin_5387,/uploads/reels/c_spin_5387.png
Model 827,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,8000,true,12,,"4,0:1",,"0,81",,"16,5",,"44,36",,21,4499,"35,44",,,spin_5078,/uploads/reels/spin_5078.png
Narga 8000 Super 7,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,6:1",,"0,87",,"15,4",,47,,20,,,,,spin_6005,/uploads/reels/spin_6005.png
Narga 8000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,3:1",,"0,82",,"14,5",,"42,38",,20,3491,25,,,spin_5121,/uploads/reels/spin_5121.png
Caliber HSV 80 SLC,Безинерционные,Syberia,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,7:1",,"1,15",,"15,4",17,"30,24",,20,2885,24,,,c_spin_5386,/uploads/reels/c_spin_5386.png
Caliber HSV 80 SLC Raven,Безинерционные,Syberia,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,5:1",,"1,1",,"15,9",17,32,,20,,"23,94",,,spin_5703,/uploads/reels/spin_5703.png
Alfa 8000,Безинерционные,Sputnik,https://potryasovgame.ru/page110667406.html,8000,false,12,,"5,2:1",,"0,91",,"14,5",,"37,73",,20,2390,20,,,spin_5195,/uploads/reels/spin_5195.png
Gold 80s,Безинерционные,Syberia,https://potryasovgame.ru/page110667406.html,8000,false,12,,"5,7:1",,"0,88",,14,,"34,58",,20,2186,19,,,spin_5045,/uploads/reels/spin_5045.png
Titan 8000,Безинерционные,Sputnik,https://potryasovgame.ru/page110667406.html,8000,false,12,,"4,3:1",,"1,03",,"12,7",,"27,66",,18,1796,16,,,c_spin_5385,/uploads/reels/c_spin_5385.png
Venga II 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,7:1",,"0,89",,"22,7","23,7","71,2",,28,18900,"106,83",,,spin_6043,/uploads/reels/spin_6043.png
Venga Classic 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,5:1",,"0,84",,"22,6","23,7","69,66",,28,18791,"106,45",,,spin_6040,/uploads/reels/spin_6040.png
Admiral II 6000S,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,2:1",,"0,8",,"21,1",22,"57,45",,26,12099,"78,9",,,spin_6111,/uploads/reels/spin_6111.png
Admiral II 6000S Superior,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,3:1",,"0,84",,22,,"59,23",,24,,"78,9",,,spin_6037,/uploads/reels/spin_6037.png
Admiral 6000s,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,0:1",,"0,77",,"20,8",,"47,86",,28,,,,,spin_5221,/uploads/reels/spin_5221.png
Chronica II 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"4,2:1","6,4:1","0,68",,"20,4",,"72,63",,25,10900,"73,01",,,spin_5680,/uploads/reels/spin_5680.png
Bestia II 6000 SHS,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"6,8:1",,"1,1",,"19,9","21,7","54,6",,26,9489,"65,65",,,spin_5686,/uploads/reels/spin_5686.png
Major ltd 2 6000s,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"4,3:1",,"0,64",,19,"20,8","43,52",,26,9199,64,,,spin_5216,/uploads/reels/spin_5216.png
Bestia 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,6:1",,"0,88",,19,"19,6","55,5",,28,9117,64,,,spin_5136,/uploads/reels/spin_5136.png
Olaf SP 60,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,1:1",,"0,83",,"18,6",,"51,5",,26,7900,"56,79",,,spin_5698,/uploads/reels/spin_5698.png
P-Series 2 GS 60S,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,6000,true,8,,"3,8:1",,"0,54",,"18,4","20,2","47,44",,28,,,,,spin_5401,/uploads/reels/spin_5401.png
Azimut 6000,Безинерционные,SAT,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,4:1",,"0,83",,19,,"43,68",,24,6900,"50,87",,,spin_5819,/uploads/reels/spin_5819.png
Tagara II 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,4:1","4,6:1","1,01","0,86","18,1","20,4","45,89","42,67",24,6300,"46,9",,,spin_5677,/uploads/reels/spin_5677.png
Tagara 6000 Super 8,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,1:1",,"0,78",,"18,1","20,4","44,99",,0,,,,,spin_5150_S8,/uploads/reels/spin_5150_S8.png
Overlord 656,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,6000,false,8,,"4,3:1",,"0,75",,"18,7",,"58,7",,24,6100,"45,93",,,spin_6048,/uploads/reels/spin_6048.png
Tagara 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,true,8,,"5,6:1",,"0,86",,"18,1","19,6","45,1",,26,6010,45,,,spin_5150,/uploads/reels/spin_5150.png
Z-Series 2 60S,Безинерционные,Zeiman,https://potryasovgame.ru/page110667406.html,6000,true,8,,"4,3:1",,"0,61",,"17,7","19,4","45,1",,26,5697,43,,,spin_5344,/uploads/reels/spin_5344.png
Full Metal 60,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"4,5:1","4,0:1","0,69","0,61","18,2",,"49,15","60,02",24,5499,"42,09",,,spin_5453,/uploads/reels/spin_5453.png
Evia 6000,Безинерционные,Beluga,https://potryasovgame.ru/page110667406.html,6000,false,8,,"4,9:1",,"0,94",,"17,2",,"38,3",,22,5199,"40,13",,,spin_6019,/uploads/reels/spin_6019.png
Everest III 6000S,Безинерционные,Trident,https://potryasovgame.ru/page110667406.html,6000,true,8,,"4,7:1","5,8:1","0,77","0,95",17,,"39,27",,21,4999,"38,81",,,spin_6089,/uploads/reels/spin_6089.png
