system_id,name,source
bcr_5073,ZM-3 Z40,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5073.glb
bcr_5389,Minister 2000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5389.glb
bcr_5081,Black Box ZBB60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5081.glb
bcr_5080,Black Box ZBB50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5080.glb
bcr_5120,Compact ZC60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5120.glb
bcr_5082,Compact ZC50,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5082.glb
bcr_5119,Compact ZC40,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5119.glb
bcr_5198,Zodiac 500-R2,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5198.glb
bcr_5197,Spider 400-R2,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5197.glb
bcr_5034,Magellan 400,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5034.glb
bcr_5196,Winner Round II,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\байткастинговые\bcr_5196.glb
spin_5691,Furia 30000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5691.glb
spin_5274,Turion SW 30000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5274.glb
spin_6046,Venga II 30000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6046.glb
spin_7002,Venga II 30000 Super 9,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7002.glb
spin_6047,Venga II 30000 First Edition,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6047.glb
spin_5326,Goliaf 30000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5326.glb
spin_5690,Furia 20000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5690.glb
spin_5273,Turion SW 20000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5273.glb
spin_5325,Goliaf 20000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5325.glb
spin_5272,Turion SW 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5272.glb
spin_5689,Furia 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5689.glb
spin_5688,Furia 10000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5688.glb
spin_6045,Venga II 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6045.glb
spin_7001,Venga II 10000 Super 9,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7001.glb
spin_6041,Venga Classic 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6041.glb
spin_6042,Venga II 10000 Final,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6042.glb
spin_5928,Venga 10000 6 An.,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5928.glb
spin_5324,Goliaf 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5324.glb
spin_6118,Admiral II 10000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6118.glb
spin_6038,Admiral II 10000S Superior,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6038.glb
spin_5699,Olaf Stark SP-SWG 100,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5699.glb
spin_5319,Azimut 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5319.glb
spin_5679,Tagara II 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5679.glb
spin_5719,Tagara II 10000 8-An.,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5719.glb
spin_5152,Tagara 10000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5152.glb
spin_5271,Turion SW 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5271.glb
spin_6044,Venga II 8000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6044.glb
spin_5139,Venga 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5139.glb
c_spin_5382,Megara 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5382.glb
spin_5817,Overlord 88,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5817.glb
spin_5687,Bestia II 8000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5687.glb
spin_5137,Bestia 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5137.glb
spin_5318,Azimut 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5318.glb
spin_6112,Admiral II 8000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6112.glb
spin_5222,Admiral 8000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5222.glb
spin_5678,Tagara II 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5678.glb
spin_5151,Tagara 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5151.glb
spin_5451,Silver 80,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5451.glb
spin_6090,Everest III 8000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6090.glb
spin_5118,Everest II 8000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5118.glb
spin_6006,Everest-24 8000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6006.glb
spin_5700,SG8000 Ultra Power,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5700.glb
c_spin_5383,Evia 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5383.glb
spin_7016,Hunter 80S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7016.glb
spin_7005,Hunter 80S 9-Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7005.glb
spin_5127,Natora 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5127.glb
spin_6020,Natora 8000 Super Seven,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6020.glb
spin_6027,Velara 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6027.glb
spin_6029,Velara 8000 Mystique,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6029.glb
c_spin_5387,Caliber 80 SLC,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5387.glb
spin_5078,Model 827,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5078.glb
spin_6005,Narga 8000 Super 7,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6005.glb
spin_5121,Narga 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5121.glb
c_spin_5386,Caliber HSV 80 SLC,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5386.glb
spin_5703,Caliber HSV 80 SLC Raven,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5703.glb
spin_5195,Alfa 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5195.glb
spin_5045,Gold 80s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5045.glb
c_spin_5385,Titan 8000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5385.glb
spin_6043,Venga II 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6043.glb
spin_6040,Venga Classic 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6040.glb
spin_6111,Admiral II 6000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6111.glb
spin_6037,Admiral II 6000S Superior,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6037.glb
spin_5221,Admiral 6000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5221.glb
spin_5680,Chronica II 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5680.glb
spin_5686,Bestia II 6000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5686.glb
spin_5216,Major ltd 2 6000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5216.glb
spin_5136,Bestia 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5136.glb
spin_5698,Olaf SP 60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5698.glb
spin_5401,P-Series 2 GS 60S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5401.glb
spin_5819,Azimut 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5819.glb
spin_5677,Tagara II 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5677.glb
spin_5150_S8,Tagara 6000 Super 8,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5150_S8.glb
spin_6048,Overlord 656,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6048.glb
spin_5150,Tagara 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5150.glb
spin_5344,Z-Series 2 60S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5344.glb
spin_5453,Full Metal 60,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5453.glb
spin_6019,Evia 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6019.glb
spin_6089,Everest III 6000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6089.glb
spin_7015,Hunter 60S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7015.glb
spin_7004,Hunter 60S 9-Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7004.glb
spin_6087,Horizon III 6000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6087.glb
spin_5117,Everest II 6000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5117.glb
spin_5100,Commandor GS 60S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5100.glb
spin_5126,Natora 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5126.glb
spin_6039,Natora 6000 Supercarp,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6039.glb
spin_6026,Velara 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6026.glb
spin_6028,Velara 6000 Mystique,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6028.glb
spin_5120,Narga 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5120.glb
spin_5362,Commandor 2 60S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5362.glb
spin_5194,Alfa 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5194.glb
spin_5044,Gold 60s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5044.glb
spin_5398,Pulsar 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5398.glb
spin_5066,Sabre 60s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5066.glb
c_spin_5384,Super Cast 6000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\c_spin\c_spin_5384.glb
spin_5187,Proton 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5187.glb
spin_5030,Pride 6000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5030.glb
spin_5027,Adriatica 5000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5027.glb
spin_5369,Chronica 6000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5369.glb
spin_5135,Bestia 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5135.glb
spin_6110,Admiral II 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6110.glb
spin_5220,Admiral 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5220.glb
spin_5149,Tagara 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5149.glb
spin_5402,P-Series 2 GS 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5402.glb
spin_5818,Azimut 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5818.glb
spin_5345,Z-Series 2 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5345.glb
spin_5215,Major ltd 2 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5215.glb
spin_5213,Major 2 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5213.glb
spin_6088,Everest III 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6088.glb
spin_7014,Hunter 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7014.glb
spin_5116,Everest II 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5116.glb
spin_5099,Commandor GS 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5099.glb
spin_5125,Natora 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5125.glb
spin_5317,Conquest II 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5317.glb
spin_5363,Commandor 2 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5363.glb
spin_5119,Narga 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5119.glb
spin_5225,Bird 2 GSX 40S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5225.glb
spin_5193,Alfa 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5193.glb
spin_5390,Model De Luxe 430S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5390.glb
spin_5041,Sabre 40s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5041.glb
spin_5069_2,Horizon 2 4000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5069_2.glb
spin_5399,Pulsar 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5399.glb
spin_5186,Proton 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5186.glb
spin_5029,Pride 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5029.glb
spin_5360,Hercules G2 40s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5360.glb
spin_5184,Element PRO 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5184.glb
spin_5063,Dragon 40s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5063.glb
spin_5180,Element 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5180.glb
spin_5825,Lagoon-HP 2 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5825.glb
spin_5357,Lacerti-S 2 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5357.glb
spin_5358,Lacerti 2 4000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5358.glb
spin_6102,Lacerti-SX NG 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6102.glb
spin_6101,Lacerti NG 4000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6101.glb
spin_6093,Aviator SP 3000 XHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6093.glb
spin_5685,Bestia II 3000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5685.glb
spin_5697,Olaf SP 30,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5697.glb
spin_5676,Tagara II 3000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5676.glb
spin_5134,Bestia 3000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5134.glb
spin_5403,P-Series 2 GS 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5403.glb
spin_6115_g,Mayor III 3000S + 9 Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6115_g.glb
spin_5346,Z-Series 2 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5346.glb
spin_5214,Mayor ltd 2 3000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5214.glb
spin_5124,Natora 3000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5124.glb
spin_6025,Velara 3000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6025.glb
spin_5352,Corsair 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5352.glb
spin_6086,Horizon III 3000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6086.glb
spin_7006,Horizon III 3000S 9-Anniversary,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_7006.glb
spin_5364,Commandor 2 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5364.glb
spin_5224,Bird 2 GSX 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5224.glb
spin_5043,Gold 30s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5043.glb
spin_5227,Bird 2 GS 30S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5227.glb
spin_5052_2,Mosquito 2 3000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5052_2.glb
spin_5068_2,Horizon 2 3000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5068_2.glb
spin_5217,Meteor 30s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5217.glb
spin_5065,Pegasus 30s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5065.glb
spin_5037,Dragon 30s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5037.glb
spin_5183,Element PRO 3000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5183.glb
spin_5026,Adriatica 3000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5026.glb
spin_5179,Element 3000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5179.glb
spin_5359,Hydra G2 30s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5359.glb
spin_5022,Lagoon 3000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5022.glb
spin_5823,Libra 2 3000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5823.glb
spin_5821,Spark 2 3000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5821.glb
spin_6092,Aviator SP 2000 XHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6092.glb
spin_5684,Bestia II 2000 SHS,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5684.glb
spin_5425,Overlord 3RS 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5425.glb
spin_5356,JSX Inferno 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5356.glb
spin_5423,Overlord 3GS 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5423.glb
spin_5354,JSX 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5354.glb
spin_6114,Major III 2000S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_6114.glb
spin_5133,Bestia 2000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5133.glb
spin_5421,Overlord 3BS 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5421.glb
spin_5696,Olaf SP 20,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5696.glb
spin_5419,Overlord 3E 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5419.glb
spin_5404,P-Series 2 GS 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5404.glb
spin_5219,Admiral 2000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5219.glb
spin_5347,Z-Series 2 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5347.glb
spin_5417,Overlord 3B 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5417.glb
spin_5212,Major 2 2000s,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5212.glb
spin_5415,Overlord 3 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5415.glb
spin_5724,Overlord 3 20S 8-Years,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5724.glb
spin_5123,Natora 2000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5123.glb
spin_5351,Corsair 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5351.glb
spin_5365,Commandor 2 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5365.glb
spin_5268,Narga 2000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5268.glb
spin_5316,Conquest II 2000,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5316.glb
spin_5349,Bird 2 GSX 20S,C:\Users\danil\Desktop\rf4objects\КатушкиОбъекты\spin\spin_5349.glb
